structure,robot,dataset,scene_id,r_filter,n_points,solved,time_secs,construction_secs,n_samples,n_nodes
capt_simd,panda,bookshelf_small,42,0.048,2290,true,0.000092176,0.003969422,1,4
mvtable,panda,bookshelf_small,43,0.048,2374,true,0.000194866,0.000162807,23,7
mvtable_mutable,panda,bookshelf_small,43,0.048,2374,true,0.00018095,0.000173772,23,7
capt,panda,bookshelf_small,43,0.048,2374,true,0.00028362,0.00345146,23,7
kiddo,panda,bookshelf_small,43,0.048,2374,true,0.000592964,0.000104418,23,7
mvtable_simd,panda,bookshelf_small,43,0.048,2374,true,0.000185676,0.000152729,23,7
mvtable_mutable_simd,panda,bookshelf_small,43,0.048,2374,true,0.000176392,0.000173958,23,7
capt_simd,panda,bookshelf_small,43,0.048,2374,true,0.000242357,0.00408935,23,7
mvtable,panda,bookshelf_small,44,0.048,2393,true,0.002422032,0.000172303,1859,14
mvtable_mutable,panda,bookshelf_small,44,0.048,2393,true,0.00228419,0.000190771,1859,14
capt,panda,bookshelf_small,44,0.048,2393,true,0.004162105,0.003445919,1859,14
